Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-01-02 00:00:00+07:00,24271.236328125,24271.236328125,23600.955078125,23636.232421875,1141930,0.0,0.0
2019-01-03 00:00:00+07:00,23636.232421875,23847.900390625,22577.892578125,22577.892578125,1569675,0.0,0.0
2019-01-04 00:00:00+07:00,22225.11328125,22542.615234375,21731.22265625,22260.392578125,2065453,0.0,0.0
2019-01-07 00:00:00+07:00,22577.892578125,23283.453125,22577.892578125,22789.560546875,1142441,0.0,0.0
2019-01-08 00:00:00+07:00,23001.228515625,23001.228515625,22507.337890625,22577.892578125,791626,0.0,0.0
2019-01-09 00:00:00+07:00,22789.560546875,23318.73046875,22648.44921875,23283.453125,1524648,0.0,0.0
2019-01-10 00:00:00+07:00,23283.453125,23354.0078125,22930.673828125,22930.673828125,582076,0.0,0.0
2019-01-11 00:00:00+07:00,22930.673828125,23142.33984375,22472.05859375,22507.337890625,1335026,0.0,0.0
2019-01-14 00:00:00+07:00,22507.337890625,22824.83984375,22189.8359375,22507.337890625,1071376,0.0,0.0
2019-01-15 00:00:00+07:00,22401.50390625,23142.33984375,22401.50390625,22930.673828125,823048,0.0,0.0
2019-01-16 00:00:00+07:00,23071.78515625,23107.0625,22719.005859375,22719.005859375,575529,0.0,0.0
2019-01-17 00:00:00+07:00,22719.005859375,22860.1171875,22507.337890625,22542.615234375,421735,0.0,0.0
2019-01-18 00:00:00+07:00,22542.615234375,22789.560546875,22330.947265625,22366.2265625,721611,0.0,0.0
2019-01-21 00:00:00+07:00,22577.892578125,23530.3984375,22366.2265625,23177.619140625,1711492,0.0,0.0
2019-01-22 00:00:00+07:00,23212.896484375,23354.0078125,23071.78515625,23107.0625,799280,0.0,0.0
2019-01-23 00:00:00+07:00,22860.1171875,23177.619140625,22648.44921875,23071.78515625,648790,0.0,0.0
2019-01-24 00:00:00+07:00,22965.951171875,23177.619140625,22930.673828125,22930.673828125,821390,0.0,0.0
2019-01-25 00:00:00+07:00,23071.78515625,23071.78515625,22577.892578125,22613.171875,809258,0.0,0.0
2019-01-28 00:00:00+07:00,22613.171875,22824.83984375,22436.78125,22507.337890625,772705,0.0,0.0
2019-01-29 00:00:00+07:00,22507.337890625,22507.337890625,22260.392578125,22366.2265625,901256,0.0,0.0
2019-01-30 00:00:00+07:00,22507.337890625,22754.283203125,22295.669921875,22366.2265625,608609,0.0,0.0
2019-01-31 00:00:00+07:00,22719.005859375,22719.005859375,22225.11328125,22225.11328125,961123,0.0,0.0
2019-02-01 00:00:00+07:00,22189.8359375,22472.05859375,22154.55859375,22295.669921875,761169,0.0,0.0
2019-02-11 00:00:00+07:00,22472.05859375,22754.283203125,22436.78125,22542.615234375,895332,0.0,0.0
2019-02-12 00:00:00+07:00,22613.171875,23071.78515625,22613.171875,22895.39453125,1978260,0.0,0.0
2019-02-13 00:00:00+07:00,22965.951171875,23001.228515625,22754.283203125,22930.673828125,2207908,0.0,0.0
2019-02-14 00:00:00+07:00,22930.673828125,22965.951171875,22824.83984375,22860.1171875,1443606,0.0,0.0
2019-02-15 00:00:00+07:00,22824.83984375,23847.900390625,22648.44921875,23389.287109375,2299636,0.0,0.0
2019-02-18 00:00:00+07:00,23636.232421875,23777.34375,23424.564453125,23636.232421875,1354301,0.0,0.0
2019-02-19 00:00:00+07:00,23636.232421875,23812.62109375,23212.896484375,23212.896484375,1620175,0.0,0.0
2019-02-20 00:00:00+07:00,23142.33984375,24624.015625,23036.5078125,23989.01171875,3346437,0.0,0.0
2019-02-21 00:00:00+07:00,24165.40234375,24447.625,23989.01171875,24165.40234375,3058381,0.0,0.0
2019-02-22 00:00:00+07:00,24130.123046875,24482.90234375,23989.01171875,23989.01171875,2068897,0.0,0.0
